4" = 1"
3.5 = 0.875
7.25 = 1.8125
8.75 = 2.1875
16.25 = 4.0625
23.25 = 5.8125

12" = 1"
0.5 = 0.04167
1 = 0.0833
1.5 = 0.125
2.5 = 0.2083
3.5 = 0.2916
3.75 = 0.3125
4 = 0.3333
4.5 = 0.375
5.5 = 0.4583
5.75 = 0.4792
6.5 = 0.5416
7.25 = 0.6041
7.5 = 0.625
8.5 = 0.7083
8.75 = 0.72916
9.5 = 0.7916
10 = 0.833
11 = 0.916
13.5 = 1.125
15 = 1.25
15.75 = 1.3125
16 = 1.333333
16.25 = 1.354
17 = 1.416
17.5 = 1.4583
18 = 1.5
18.25 = 1.521
19 = 1.5833
21 = 1.75
21.5 = 1.7916
21.75 = 1.8125
22 = 1.833
22.5 = 1.875
23.25 = 1.9375
24.5 = 2.042
25.5 = 2.125
26.5 = 2.2083
26.75 = 2.229
27.1 = 2.2583
27.5 = 2.2917
28 = 2.3333
30 = 2.5
31 = 2.58
32 = 2.666
33 = 2.75
34.5 = 2.875
35 = 2.916
35.5 = 2.9583
35.75 = 2.979
36 = 3
36.25 = 3.0208
36.9 = 3.075
37 = 3.083
39 = 3.25
40 = 3.333
42 = 3.5
43 = 3.5833
44 = 3.666
45 = 3.75
45.5 = 3.791
46 = 3.833
46.5 = 3.875
48 = 4
61 = 5.083
61.25 = 5.10416
63.75 = 5.3125
64 = 5.333
72 = 6
74 = 6.166
75.75 = 6.3125
78.25 = 6.5208
81.5 = 6.7916
84 = 7
85 = 7.083
88.5 = 7.375
91.5 = 7.625
94.5 = 7.875
107 = 8.916
110 = 9.166
112 = 9.333
